dataset,method,first_order_diff_used,num_features,block_size,network_config,train_transform_time,test_transform_time,train_transform_block_time,test_transform_block_time,train_cls_time,train_cls_epoch_time,test_cls_time,train_cls_time_gpu,train_cls_epoch_time_gpu,test_cls_time_gpu
pioneer,storm multirocket,1,2500,100.0,"64,0.4,32,True",0.194485664,0.021914959,0.194485664,0.021914959,2.559374332,0.071995527,0.45478344,2.236100197,0.036656767,0.386001587
pioneer,storm multirocket,1,2500,1000.0,"64,0.4,32,True",0.193481922,0.021940947,0.193481922,0.021940947,2.632166862,0.078290343,0.43358326,2.29987359,0.039768964,0.385122538
pioneer,storm multirocket,1,10000,100.0,"64,0.4,32,True",0.201473475,0.025931597,0.201473475,0.025931597,5.109400511,0.312047869,0.414452076,2.75163722,0.047248274,0.436956167
pioneer,storm multirocket,1,10000,1000.0,"64,0.4,32,True",0.201461077,0.026928186,0.201461077,0.026928186,4.947246313,0.294899881,0.396164179,2.561452389,0.045253873,0.392388821
skating,minirocket,0,1000,,,35.32387042,3.842832565,35.32387042,3.842832565,0.040661097,,0.000998974,,,
skating,minirocket,0,2500,,,92.1041913,10.08194041,92.1041913,10.08194041,0.047871351,,0.000997305,,,
skating,minirocket,0,10000,,,100.278585,10.83995891,100.278585,10.83995891,0.112671137,,0.001993656,,,
skating,multirocket,0,1000,,,39.83759427,4.437506914,39.83759427,4.437506914,0.069841385,,0.001508713,,,
skating,multirocket,0,2500,,,100.3640513,11.04532409,100.3640513,11.04532409,0.116690159,,0.001993179,,,
skating,multirocket,0,10000,,,101.5679591,11.09493756,101.5679591,11.09493756,0.376508713,,0.007978916,,,
skating,multirocket,1,1000,,,65.04360914,7.011728525,65.04360914,7.011728525,0.129967213,,0.001994133,,,
skating,multirocket,1,2500,,,172.6221449,17.52876377,172.6221449,17.52876377,0.19845295,,0.003990412,,,
skating,multirocket,1,10000,,,175.7841222,18.69912958,175.7841222,18.69912958,0.71225214,,0.013963461,,,
